Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
346,Kylen Granson,TE,IND,,59,11,29
347,Emari Demercado,RB,ARI,,114,18,29
348,Treylon Burks,WR,TEN,,138,21,29
349,Marquez Valdes-Scantling,WR,NO,,139,21,30
350,Jamaal Williams,RB,NO,,115,18,30
351,Jeremy McNichols,RB,WAS,,116,18,30
352,Daniel Bellinger,TE,NYG,,60,11,30
353,KaVontae Turpin,WR,DAL,,140,21,30
354,Colby Parkinson,TE,LAR,,61,11,30
355,Raheem Blackshear,RB,CAR,,117,18,30
356,Chase Edmonds,RB,TB,,118,18,30
357,Darnell Washington,TE,PIT,,62,11,30
358,Mack Hollins,WR,BUF,,141,21,30
359,Jacob Cowing,WR,SF,,142,21,30
