first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Hunter,Long,TE,,6,2025-10-12,Sun-Mon,JAX,SEA,+0.5,47.5,23.5,2500,28,4.7,2.9,5.9,7.1,2.85
Chargers,,DST,,6,2025-10-12,Sun-Mon,LAC,MIA,-4.5,43.5,24,3400,17,5.4,5.1,5.4,7.0,2.06
Casey,Washington,WR,,6,2025-10-13,Sun-Mon,ATL,BUF,+3.5,50.5,23.5,3200,10,1.8,1.2,4.6,6.9,2.16
Rashod,Bateman,WR,,6,2025-10-12,Sun-Mon,BAL,LAR,+7.5,44.5,18.5,4400,21,5.4,8.3,5.4,6.9,1.56
Xavier,Legette,WR,,6,2025-10-12,Sun-Mon,CAR,DAL,+3.5,49.5,23,3900,32,5.9,6.4,5.3,6.9,1.76
Chig,Okonkwo,TE,,6,2025-10-12,Sun-Mon,TEN,LV,+4.5,41.5,18.5,3300,6,6.8,8.2,6.8,6.9,2.08
Buccaneers,,DST,,6,2025-10-12,Sun-Mon,TB,SF,-3.5,47.5,25.5,2900,20,4.6,5.0,4.6,6.9,2.38
Dawson,Knox,TE,,6,2025-10-13,Sun-Mon,BUF,ATL,-3.5,50.5,27,2500,1,2.6,3.2,2.9,6.8,2.71
Kayshon,Boutte,WR,,6,2025-10-12,Sun-Mon,NE,NO,-3.5,45.5,24.5,3800,9,8.6,11.1,8.6,6.7,1.75
Kendre,Miller,RB,,6,2025-10-12,Sun-Mon,NO,NE,+3.5,45.5,21,4700,4,5.7,5.2,5.7,6.7,1.43
Bills,,DST,,6,2025-10-13,Sun-Mon,BUF,ATL,-3.5,50.5,27,3100,24,4.8,5.5,4.8,6.5,2.08
Saints,,DST,,6,2025-10-12,Sun-Mon,NO,NE,+3.5,45.5,21,2400,22,6.6,5.7,6.6,6.5,2.70
Oronde,Gadsden II,TE,,6,2025-10-12,Sun-Mon,LAC,MIA,-4.5,43.5,24,2600,24,5.2,5.2,5.2,6.4,2.44
Luke,McCaffrey,WR,,6,2025-10-13,Sun-Mon,WAS,CHI,-5.5,50.5,28,3800,19,7.1,3.8,8.9,6.4,1.68
Cowboys,,DST,,6,2025-10-12,Sun-Mon,DAL,CAR,-3.5,49.5,26.5,3000,26,2.2,4.2,2.2,6.3,2.08
Justice,Hill,RB,,6,2025-10-12,Sun-Mon,BAL,LAR,+7.5,44.5,18.5,4700,3,8.8,9.1,8.8,6.2,1.32
